extract.id,document.id,document.year
1880,120,1982
1881,120,1982
1882,120,1982
1883,120,1982
1884,120,1982
1885,120,1982
1886,120,1982
1887,120,1982
1888,120,1982
1889,120,1982
1890,120,1982
1891,120,1982
1892,120,1982
1893,385,1977
1894,203,1994
1895,203,1994
1896,377,1909
1897,204,1962
1899,208,1830
1900,226,1896
1901,229,1967
1902,242,1953
1903,242,1953
1904,257,1967
1905,304,1962
1906,285,1951
1908,202,1991
1909,202,1991
